metro,zip,npi_providers,npi_locations
Houston / South Texas,77009,2,2
Houston / South Texas,77010,1,1
Houston / South Texas,77014,1,1
Houston / South Texas,77015,1,1
Houston / South Texas,77016,1,1
Houston / South Texas,77019,4,3
Houston / South Texas,77024,51,28
Houston / South Texas,77025,12,4
Houston / South Texas,77026,1,1
Houston / South Texas,77027,20,15
Houston / South Texas,77029,1,1
Houston / South Texas,77030,189,71
Houston / South Texas,77034,1,1
Houston / South Texas,77036,2,2
Houston / South Texas,77038,1,1
Houston / South Texas,77043,1,1
Houston / South Texas,77046,3,3
Houston / South Texas,77054,10,9
Houston / South Texas,77055,13,7
Houston / South Texas,77056,16,10
Houston / South Texas,77057,7,3
Houston / South Texas,77058,10,6
Houston / South Texas,77062,2,2
Houston / South Texas,77063,10,6
Houston / South Texas,77064,3,1
Houston / South Texas,77065,13,11
Houston / South Texas,77066,1,1
Houston / South Texas,77070,13,8
Houston / South Texas,77074,15,5
Houston / South Texas,77079,6,5
Houston / South Texas,77081,1,1
Houston / South Texas,77082,5,4
Houston / South Texas,77083,1,1
Houston / South Texas,77084,8,2
Houston / South Texas,77089,2,2
Houston / South Texas,77090,11,7
Houston / South Texas,77092,3,1
Houston / South Texas,77094,5,2
Houston / South Texas,77095,1,1
Houston / South Texas,77096,2,1
Houston / South Texas,77098,22,18
Houston / South Texas,77304,11,6
Houston / South Texas,77338,5,3
Houston / South Texas,77339,12,9
Houston / South Texas,77340,2,1
Houston / South Texas,77345,1,1
Houston / South Texas,77346,1,1
Houston / South Texas,77365,1,1
Houston / South Texas,77375,4,2
Houston / South Texas,77377,1,1
Houston / South Texas,77379,7,5
Houston / South Texas,77380,35,19
Houston / South Texas,77381,4,3
Houston / South Texas,77382,1,1
Houston / South Texas,77384,13,7
Houston / South Texas,77385,1,1
Houston / South Texas,77386,5,4
Houston / South Texas,77388,3,2
Houston / South Texas,77389,1,1
Houston / South Texas,77396,1,1
Houston / South Texas,77401,39,17
Houston / South Texas,77406,3,2
Houston / South Texas,77407,2,2
Houston / South Texas,77429,2,2
Houston / South Texas,77433,12,9
Houston / South Texas,77437,4,4
Houston / South Texas,77441,5,1
Houston / South Texas,77449,6,3
Houston / South Texas,77450,14,8
Houston / South Texas,77459,5,3
Houston / South Texas,77477,1,1
Houston / South Texas,77478,31,18
Houston / South Texas,77479,31,18
Houston / South Texas,77493,1,1
Houston / South Texas,77494,14,5
Houston / South Texas,77498,1,1
Houston / South Texas,77503,1,1
Houston / South Texas,77504,14,2
Houston / South Texas,77505,3,3
Houston / South Texas,77521,5,4
Houston / South Texas,77546,5,3
Houston / South Texas,77550,3,3
Houston / South Texas,77555,29,10
Houston / South Texas,77566,3,3
Houston / South Texas,77573,10,8
Houston / South Texas,77581,2,2
Houston / South Texas,77584,17,12
Houston / South Texas,77591,1,1
Houston / South Texas,77598,27,19
Houston / South Texas,77627,3,3
Houston / South Texas,77630,1,1
Houston / South Texas,77642,4,2
Houston / South Texas,77701,11,7
Houston / South Texas,77702,7,6
Houston / South Texas,77705,1,1
Houston / South Texas,77706,3,2
Houston / South Texas,77802,3,3
Houston / South Texas,77833,5,4
Houston / South Texas,77840,6,3
Houston / South Texas,77845,16,7
Houston / South Texas,77901,6,5
Houston / South Texas,77904,4,3
Houston / South Texas,78006,16,12
Houston / South Texas,78013,2,1
Houston / South Texas,78028,5,3
Houston / South Texas,78041,5,5
Houston / South Texas,78045,3,2
Houston / South Texas,78070,1,1
Houston / South Texas,78121,1,1
Houston / South Texas,78130,11,7
Houston / South Texas,78132,4,3
Houston / South Texas,78148,1,1
Houston / South Texas,78163,1,1
Houston / South Texas,78201,1,1
Houston / South Texas,78205,4,3
Houston / South Texas,78207,5,3
Houston / South Texas,78209,28,17
Houston / South Texas,78212,11,7
Houston / South Texas,78213,7,4
Houston / South Texas,78215,14,6
Houston / South Texas,78216,5,3
Houston / South Texas,78217,8,6
Houston / South Texas,78218,6,1
Houston / South Texas,78224,3,2
Houston / South Texas,78228,1,1
Houston / South Texas,78229,55,29
Houston / South Texas,78230,2,2
Houston / South Texas,78231,6,4
Houston / South Texas,78232,5,2
Houston / South Texas,78233,9,4
Houston / South Texas,78234,11,4
Houston / South Texas,78235,1,1
Houston / South Texas,78236,21,4
Houston / South Texas,78240,9,6
Houston / South Texas,78247,1,1
Houston / South Texas,78249,10,6
Houston / South Texas,78251,5,3
Houston / South Texas,78253,2,2
Houston / South Texas,78254,2,2
Houston / South Texas,78255,1,1
Houston / South Texas,78256,3,3
Houston / South Texas,78257,6,6
Houston / South Texas,78258,32,18
Houston / South Texas,78260,2,2
Houston / South Texas,78404,5,3
Houston / South Texas,78410,1,1
Houston / South Texas,78411,9,5
Houston / South Texas,78413,3,2
Houston / South Texas,78414,5,3
Houston / South Texas,78418,2,1
Houston / South Texas,78501,5,4
Houston / South Texas,78503,7,3
Houston / South Texas,78504,18,8
Houston / South Texas,78520,3,2
Houston / South Texas,78521,1,1
Houston / South Texas,78526,1,1
Houston / South Texas,78539,15,12
Houston / South Texas,78550,7,7
Houston / South Texas,78572,2,2
Houston / South Texas,78582,1,1
Nevada + Utah,84003,14,11
Nevada + Utah,84004,2,1
Nevada + Utah,84009,2,1
Nevada + Utah,84010,20,13
Nevada + Utah,84014,2,1
Nevada + Utah,84020,16,9
Nevada + Utah,84025,2,2
Nevada + Utah,84032,1,1
Nevada + Utah,84037,2,2
Nevada + Utah,84041,12,4
Nevada + Utah,84042,3,3
Nevada + Utah,84043,12,8
Nevada + Utah,84045,4,3
Nevada + Utah,84047,4,2
Nevada + Utah,84048,3,1
Nevada + Utah,84057,3,2
Nevada + Utah,84062,1,1
Nevada + Utah,84065,3,2
Nevada + Utah,84066,3,2
Nevada + Utah,84070,3,2
Nevada + Utah,84074,1,1
Nevada + Utah,84088,5,4
Nevada + Utah,84093,2,2
Nevada + Utah,84094,9,4
Nevada + Utah,84095,7,4
Nevada + Utah,84096,2,1
Nevada + Utah,84097,4,2
Nevada + Utah,84098,6,3
Nevada + Utah,84101,2,2
Nevada + Utah,84102,10,7
Nevada + Utah,84103,5,4
Nevada + Utah,84105,4,1
Nevada + Utah,84106,1,1
Nevada + Utah,84107,35,16
Nevada + Utah,84111,6,5
Nevada + Utah,84112,19,10
Nevada + Utah,84113,5,4
Nevada + Utah,84117,11,7
Nevada + Utah,84119,1,1
Nevada + Utah,84120,3,3
Nevada + Utah,84121,10,9
Nevada + Utah,84123,7,4
Nevada + Utah,84124,11,9
Nevada + Utah,84128,1,1
Nevada + Utah,84129,2,2
Nevada + Utah,84132,80,18
Nevada + Utah,84332,5,3
Nevada + Utah,84341,15,9
Nevada + Utah,84403,12,5
Nevada + Utah,84404,1,1
Nevada + Utah,84405,10,7
Nevada + Utah,84501,1,1
Nevada + Utah,84604,18,14
Nevada + Utah,84606,1,1
Nevada + Utah,84653,1,1
Nevada + Utah,84660,8,4
Nevada + Utah,84663,3,3
Nevada + Utah,84664,2,1
Nevada + Utah,84701,3,2
Nevada + Utah,84721,3,2
Nevada + Utah,84738,2,2
Nevada + Utah,84770,11,5
Nevada + Utah,84790,20,13
Nevada + Utah,89012,2,2
Nevada + Utah,89014,3,2
Nevada + Utah,89015,1,1
Nevada + Utah,89027,3,3
Nevada + Utah,89029,1,1
Nevada + Utah,89044,1,1
Nevada + Utah,89048,3,3
Nevada + Utah,89052,23,15
Nevada + Utah,89074,5,4
Nevada + Utah,89084,1,1
Nevada + Utah,89086,3,2
Nevada + Utah,89102,10,7
Nevada + Utah,89103,1,1
Nevada + Utah,89106,6,4
Nevada + Utah,89107,1,1
Nevada + Utah,89109,2,2
Nevada + Utah,89113,8,8
Nevada + Utah,89117,16,10
Nevada + Utah,89118,8,5
Nevada + Utah,89119,7,7
Nevada + Utah,89120,1,1
Nevada + Utah,89121,12,3
Nevada + Utah,89128,14,9
Nevada + Utah,89130,1,1
Nevada + Utah,89135,1,1
Nevada + Utah,89144,15,7
Nevada + Utah,89145,5,4
Nevada + Utah,89146,2,2
Nevada + Utah,89147,7,5
Nevada + Utah,89148,18,15
Nevada + Utah,89149,8,5
Nevada + Utah,89166,1,1
Nevada + Utah,89169,1,1
Nevada + Utah,89191,6,1
Nevada + Utah,89406,1,1
Nevada + Utah,89408,2,2
Nevada + Utah,89423,7,2
Nevada + Utah,89434,1,1
Nevada + Utah,89436,4,2
Nevada + Utah,89449,6,5
Nevada + Utah,89502,1,1
Nevada + Utah,89503,4,2
Nevada + Utah,89506,1,1
Nevada + Utah,89509,23,7
Nevada + Utah,89511,13,9
Nevada + Utah,89519,7,5
Nevada + Utah,89521,14,7
Nevada + Utah,89523,3,2
Nevada + Utah,89701,5,2
Nevada + Utah,89703,6,5
