territory,tier,state,county,major_city,zipcode,population,median_household_income,income_factor,target_clinics,npi_providers,npi_locations,our_accts,open_clinics,annual_potential,current_owner
Nevada + Utah,1,UT,Davis County,Layton,84040,23026,87541,1.2369500804671656,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Magna,84044,26524,55713,0.9867898957303749,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Midvale,84047,28936,48593,0.9215805015436517,3,4,2,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Utah County,Orem,84057,36666,49465,0.9298126024684057,3,3,2,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Utah County,Orem,84058,30540,49899,0.9338827266106261,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Sandy,84070,24861,58389,1.0102106441935295,3,3,2,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Davis County,Syracuse,84075,24506,85590,1.223088646243634,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Uintah County,Vernal,84078,25851,62500,1.04516878395634,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Sandy,84093,23130,94938,1.2881500678917948,3,2,2,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Sandy,84094,28069,68133,1.0912523136926742,3,9,4,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84106,33384,54159,0.9729303248540827,3,1,1,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84107,30863,45089,0.8877316895197016,3,35,16,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84108,20738,85690,1.223802942074097,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84109,23858,76636,1.1573449897500354,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84116,33297,42235,0.8591770558586338,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,West Valley City,84128,27983,64356,1.060573919026035,3,1,1,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Weber County,Ogden,84401,35622,42520,0.8620710272491662,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Weber County,Ogden,84403,36582,51070,0.9447770833789945,3,12,5,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Weber County,Ogden,84405,31348,55289,0.9830277755022233,3,10,7,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Weber County,Ogden,84414,26507,75951,1.152160997757893,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Utah County,Provo,84601,31486,40704,0.8434609220613701,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Utah County,Springville,84663,29975,58745,1.013285611028012,3,3,3,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Washington County,Saint George,84770,39131,42383,0.8606811046569011,3,11,5,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Henderson,89012,29085,69037,1.0984679168961455,3,2,2,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,North Las Vegas,89081,29774,57416,1.0017581585665087,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89101,46055,22401,0.6257201266460103,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89102,35759,32562,0.7544004824906886,3,10,7,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89104,39909,34184,0.772961497300665,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89107,36282,44271,0.8796422637082724,3,1,1,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89113,23800,65966,1.0737582081224102,3,8,8,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89128,35669,52703,0.9597631916758039,3,14,9,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89135,24144,91579,1.265156846255606,3,1,1,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89139,30477,69983,1.1059683515514966,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89141,25150,86895,1.2323776550886267,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89142,33731,53284,0.9650389256414874,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89149,31143,69273,1.1003438476102396,3,8,5,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89178,27588,78849,1.173936258056661,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Sparks,89431,36189,37110,0.8053634178328777,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Reno,89502,43566,33258,0.7624203610986097,3,1,1,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Reno,89509,33395,52516,0.9580589698745852,3,23,7,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Reno,89511,25011,81080,1.1904284335747715,3,13,9,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Reno,89521,25716,77282,1.1622126492623865,3,14,7,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Reno,89523,31373,64756,1.0638647731524744,3,3,2,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Carson City,Carson City,89701,27625,50752,0.9418310459408754,3,5,2,0,3,10500,James Tuckett
Nevada + Utah,1,NV,Elko County,Elko,89801,23298,71623,1.118852084845571,3,,,0,3,10500,James Tuckett
Nevada + Utah,1,UT,Utah County,Eagle Mountain,84005,21410,68408,1.0934523649442733,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Davis County,Centerville,84014,15268,75806,1.1510606622974846,2,2,1,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Davis County,Farmington,84025,18255,85691,1.2238100829270067,2,2,2,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Wasatch County,Heber City,84032,17249,60121,1.0250841520938911,2,1,1,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Utah County,Saratoga Springs,84045,16875,73424,1.1328318260325436,2,4,3,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Davis County,North Salt Lake,84054,16196,71354,1.1167490289981088,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Davis County,Woods Cross,84087,13983,78962,1.1747771520671029,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Utah County,Orem,84097,21322,67782,1.0884377880651082,2,4,2,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Summit County,Park City,84098,17282,109771,1.3851290311131714,2,6,3,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84103,21084,53775,0.9694750372740953,2,5,4,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84104,24869,38264,0.8177896418039446,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84105,22140,62645,1.0463804773706904,2,4,1,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84115,24668,31463,0.7415603259184892,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84117,24305,54290,0.9741062780118669,2,11,7,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84124,21295,74621,1.1420285309255733,2,11,9,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Brigham City,84302,23703,58026,1.0070655467521767,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Cache County,Logan,84341,20109,47931,0.9152814623415042,2,15,9,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Utah County,Provo,84606,32291,31675,0.7440544754449725,2,1,1,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Utah County,Payson,84651,23457,63088,1.0500737484464906,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Iron County,Cedar City,84720,19705,43427,0.8712169893125072,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Iron County,Cedar City,84721,20961,42334,0.8601834337677339,2,3,2,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Washington County,Washington,84780,18756,47686,0.9129392281971084,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Boulder City,89005,15065,58283,1.0092932541710693,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Henderson,89011,19550,55856,0.9880554937310563,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Henderson,89044,14260,72573,1.1262478102642526,2,1,1,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Nye County,Pahrump,89048,21169,37996,0.8149207214762388,2,3,3,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,North Las Vegas,89084,21837,73551,1.1338111208377362,2,1,1,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89106,25759,28506,0.7058534827567524,2,6,4,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89118,19318,51250,0.9464405873083397,2,8,5,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89120,23311,49335,0.9285899686687334,2,1,1,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89134,24040,61561,1.037287762911303,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89138,12118,104361,1.3505651452608773,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89143,12786,83590,1.2087140883548384,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89144,18714,73492,1.1333562780981257,2,15,7,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89145,23186,56524,0.9939461718217518,2,5,4,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89146,19071,43003,0.8669534886947712,2,2,2,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89156,27794,44420,0.8811212974079781,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89169,23304,31331,0.7400031182976753,2,1,1,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Churchill County,Fallon,89406,24772,49830,0.9332368198827654,2,1,1,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Lyon County,Fernley,89408,19626,53111,0.9634710303319867,2,2,2,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Washoe County,Sun Valley,89433,20188,41639,0.8530933704686082,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Washoe County,Sparks,89434,25416,52454,0.9574932642021511,2,1,1,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Humboldt County,Winnemucca,89445,16114,65098,1.0666704021416331,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Washoe County,Reno,89503,27891,39912,0.8352147722162848,2,4,2,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Washoe County,Reno,89512,25574,31081,0.7370448452722914,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Carson City,Carson City,89706,19510,42955,0.8664695063414822,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,NV,Elko County,Spring Creek,89815,13346,89296,1.2492875849160887,2,,,0,2,7000,James Tuckett
Nevada + Utah,1,UT,Utah County,Alpine,84004,9818,98966,1.3151928227539207,1,2,1,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Tooele County,Grantsville,84029,9473,63419,1.0528248239551472,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Summit County,Kamas,84036,6045,60335,1.026906919061602,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Utah County,Lindon,84042,10094,89286,1.249217630911268,1,3,3,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Wasatch County,Midway,84049,4372,80431,1.1856545047034253,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Morgan County,Morgan,84050,9290,80529,1.1863766066867103,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Summit County,Park City,84060,7596,83202,1.205905579258194,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Roosevelt,84066,11283,61384,1.035795486180971,1,3,2,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84102,17421,35826,0.7913080471777185,1,10,7,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84111,10744,26736,0.6835883265483848,1,6,5,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Weber County,Hooper,84315,7581,80766,1.1881211005034855,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Cache County,Hyrum,84319,7905,57328,1.0009901799371097,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Cache County,Providence,84332,7218,63284,1.0517036530869142,1,5,3,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Cache County,Smithfield,84335,11372,57019,0.9982888482557606,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Tremonton,84337,11393,57009,0.9982013044000193,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Cache County,Wellsville,84339,5046,59222,1.0173911523040022,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Carbon County,Price,84501,13612,47965,0.9156060336313359,1,1,1,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Grand County,Moab,84532,9772,45975,0.8964112338014306,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Millard County,Delta,84624,5668,47394,0.9101397944054912,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Sanpete County,Ephraim,84627,6310,43506,0.8720090641670318,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Juab County,Nephi,84648,5776,55157,0.9818536069714247,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Utah County,Salem,84653,7947,75560,1.14919147635164,1,1,1,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Utah County,Santaquin,84655,10547,59466,1.0194848697586172,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Utah County,Mapleton,84664,8033,86196,1.2274109057656355,1,2,1,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Sevier County,Richfield,84701,8692,44973,0.88658902508711,1,3,2,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Washington County,Hurricane,84737,14838,46292,0.899496325851778,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Washington County,Ivins,84738,6878,54259,0.9738281272790399,1,2,2,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Kane County,Kanab,84741,5556,49858,0.9334989808422147,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Washington County,Santa Clara,84765,6143,62143,1.042179507108865,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Clark County,Mesquite,89027,15275,44579,0.8826968618024744,1,3,3,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Clark County,Laughlin,89029,7546,36536,0.7991106539072316,1,1,1,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Nye County,Pahrump,89060,10227,38217,0.8172872384578342,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89109,7770,40074,0.836908094686682,1,2,2,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Clark County,Las Vegas,89166,13209,65645,1.0711424915464978,1,1,1,0,1,3500,James Tuckett
Nevada + Utah,1,NV,White Pine County,Ely,89301,7606,49340,0.9286370228109344,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Lyon County,Dayton,89403,14158,48916,0.9246383234694748,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Douglas County,Gardnerville,89410,10557,53784,0.9695561614981003,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Douglas County,Minden,89423,10465,72841,1.1283254167462038,1,7,2,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Lyon County,Silver Springs,89429,7627,32459,0.7532063790152597,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Sparks,89441,11542,77619,1.1647438959414065,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Lyon County,Yerington,89447,7931,40565,0.8420195240292382,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Incline Village,89451,8930,71366,1.1168429300055198,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Douglas County,Gardnerville,89460,13236,55932,0.9887274599610657,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Reno,89508,11662,65659,1.071256705846324,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Reno,89519,8392,117975,1.4359569320350827,1,7,5,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Carson City,Carson City,89703,9714,70399,1.1092505853879542,1,6,5,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Washoe County,Washoe Valley,89704,4290,81909,1.1964987064052677,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,NV,Lander County,Battle Mountain,89820,5358,74637,1.1421509594451533,1,,,0,1,3500,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Altamont,84001,725,68571,1.0947543083590068,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Altonah,84002,302,48438,0.9201095173476882,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Bingham Canyon,84006,826,44844,0.8853165714322947,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Bluebell,84007,740,85455,1.2221236846368122,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Utah County,Cedar Valley,84013,1011,79833,1.1812386439064388,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Summit County,Coalville,84017,3556,59946,1.0235911591404903,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Morgan County,Croydon,84018,179,38333,0.8185266540062238,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Duchesne,84021,3323,45625,0.8929926004611938,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Tooele County,Dugway,84022,896,64063,1.0581568743116445,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Daggett County,Dutch John,84023,266,57917,1.006119231798502,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Uintah County,Fort Duchesne,84026,1668,36429,0.7979396508613752,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Fruitland,84027,452,36705,0.8009566946620613,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Rich County,Garden City,84028,824,36944,0.8035601280435068,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Hanna,84031,259,49375,0.9289663350713263,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Tooele County,Ibapah,84034,209,42083,0.8576296115083895,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Uintah County,Jensen,84035,748,111250,1.394429080585692,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Uintah County,Lapoint,84039,1102,58750,1.0133287323170936,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Daggett County,Manila,84046,793,45667,0.8934035271652335,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Mountain Home,84051,402,65000,1.0658672048782838,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Myton,84052,1403,50192,0.9366205283501695,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Neola,84053,1115,88000,1.2401886646938596,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Summit County,Oakley,84055,1406,73646,1.1345431115526186,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Summit County,Peoa,84061,391,37200,0.8063394191013311,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Uintah County,Randlett,84063,334,64000,1.0576364469153552,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Tooele County,Rush Valley,84069,505,65000,1.0658672048782838,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Tooele County,Stockton,84071,1175,67200,1.0837548599826086,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Tabiona,84072,372,48654,0.9221587615728206,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Duchesne County,Talmage,84073,191,76563,1.1567936410805275,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Uintah County,Tridell,84076,390,77083,1.1607153446180611,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Tooele County,Vernon,84080,304,44792,0.8848031268784516,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Wasatch County,Wallsburg,84082,743,66532,1.0783548872003732,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Tooele County,Wendover,84083,1516,29674,0.7201690740392044,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Uintah County,Whiterocks,84085,531,35855,0.7916282516569013,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Rich County,Woodruff,84086,401,62500,1.04516878395634,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Salt Lake County,Salt Lake City,84101,5277,36111,0.7944492861326878,0,2,2,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Collinston,84306,318,86389,1.2287842748825117,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Corinne,84307,1375,63162,1.0506894177044996,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Cache County,Cornish,84308,325,43125,0.8681823961588798,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Deweyville,84309,535,55188,0.9821294847957307,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Weber County,Eden,84310,4111,76429,1.1557808918947867,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Fielding,84311,714,60341,1.0269579780517504,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Garland,84312,4028,56429,0.9931105569084144,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Honeyville,84314,1031,45208,0.8889023792767514,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Weber County,Huntsville,84317,2304,89958,1.253909859337951,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Cache County,Hyde Park,84318,3918,72760,1.1276978870529104,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Cache County,Lewiston,84320,2237,48665,0.9222629993857624,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Mantua,84324,701,79338,1.1775708478835678,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Cache County,Mendon,84325,2078,76583,1.1569447216423827,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Cache County,Paradise,84328,1666,67622,1.0871523956435252,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Park Valley,84329,202,26172,0.6763396950081543,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Portage,84331,272,51319,0.9470774891112951,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Cache County,Richmond,84333,2722,54157,0.9729123603549749,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Snowville,84336,281,44464,0.8815575844537532,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Cache County,Trenton,84338,481,49028,0.9256962624007227,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Box Elder County,Willard,84340,3369,56094,0.9901582869949899,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,San Juan County,Blanding,84511,4672,48715,0.9227366592184295,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Carbon County,East Carbon,84520,1302,28688,0.7081032009781166,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Emery County,Elmo,84521,840,52222,0.9553734582074733,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Emery County,Green River,84525,1183,38594,0.821308500477717,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Carbon County,Helper,84526,4134,45765,0.8943616218964388,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Carbon County,Kenilworth,84529,180,14224,0.5,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Kane County,Lake Powell,84533,267,30000,0.724114174518944,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,San Juan County,Monticello,84535,2601,47468,0.9108500538838578,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Carbon County,Wellington,84542,1806,48929,0.9247611820400595,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sanpete County,Axtell,84621,240,86331,1.2283717139417711,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sanpete County,Chester,84623,405,140433,1.5,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sanpete County,Fairview,84629,2531,58110,1.007794210739936,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sanpete County,Fayette,84630,294,50625,0.9406519055607059,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Millard County,Fillmore,84631,3067,50903,0.9432310977864178,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Millard County,Hinckley,84635,863,50329,0.9378979188781473,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sanpete County,Manti,84642,3548,51596,0.9496300272912328,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Juab County,Mona,84645,2620,56776,0.9961593545794393,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sanpete County,Mount Pleasant,84647,4019,43324,0.8701832013282287,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sevier County,Salina,84654,2689,46645,0.9029193706868736,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sanpete County,Wales,84667,405,54118,0.9725619862982654,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Garfield County,Antimony,84712,201,58000,1.0068399010249278,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Beaver County,Beaver,84713,3792,44969,0.8865495965971374,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Iron County,Beryl,84714,835,22500,0.6271012703738039,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Washington County,Central,84722,615,42353,0.8603764423644363,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sevier County,Elsinore,84724,1214,40284,0.8390980564369501,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Washington County,Gunlock,84733,202,76250,1.1544266542692372,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sevier County,Joseph,84739,507,40865,0.845127382247089,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Iron County,Kanarraville,84742,260,58375,1.0100895272289616,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Piute County,Kingston,84743,34,19167,0.5787932970254648,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Sevier County,Koosharem,84744,411,60804,1.030890403161226,0,,,0,0,0,James Tuckett
Nevada + Utah,1,UT,Washington County,La Verkin,84745,4066,42649,0.8633777410697542,0,,,0,0,0,James Tuckett
