territory,tier,state,county,major_city,zipcode,population,median_household_income,income_factor,target_clinics,npi_providers,npi_locations,our_accts,open_clinics,annual_potential,current_owner
DC / NoVA,1,VA,Fairfax County,Alexandria,22315,26202,128008,1.4957705479264538,4,2,2,0,4,14000,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20007,26866,107511,1.370796138036636,4,14,5,1,3,10500,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20010,30138,65287,1.068217719958226,3,28,8,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20032,35653,31184,0.7382650896089837,3,2,2,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Sterling,20164,37747,87288,1.2351613482805097,5,1,1,2,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Fairfax Station,22039,18364,196637,1.5,3,,,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Falls Church,22041,27989,73839,1.1360287560522488,3,,,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Falls Church,22043,24302,103972,1.3480457159338166,3,4,1,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Great Falls,22066,18099,214219,1.5,3,,,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Mc Lean,22101,29887,180540,1.5,4,26,15,1,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Oakton,22124,17558,156912,1.5,3,,,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Springfield,22150,27105,86486,1.229473938123089,3,1,1,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Arlington County,Arlington,22202,22543,110092,1.3871527980530203,3,1,1,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Arlington County,Arlington,22203,21850,95410,1.2913482235465124,3,7,4,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Arlington County,Arlington,22205,17087,140819,1.5,3,9,7,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Arlington County,Arlington,22206,19051,98985,1.3153190654250628,3,1,1,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Alexandria,22306,32326,61975,1.0407698177533482,3,5,3,0,3,10500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Alexandria,22310,29609,108482,1.376972488234357,4,3,2,1,3,10500,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20003,26454,107966,1.373693765853657,4,3,2,2,2,7000,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20012,13414,78356,1.1702605103123664,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20015,15332,159016,1.5,2,2,2,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20017,17735,56980,0.9979473837897226,2,2,2,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20018,16894,52317,0.9562420503635473,2,1,1,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Clifton,20124,14857,167400,1.5,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Purcellville,20132,15900,129180,1.5,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Chantilly,20151,21374,122054,1.4605701813153498,3,1,1,1,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Prince William County,Haymarket,20169,19801,139508,1.5,3,,,1,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fauquier County,Warrenton,20187,15252,116206,1.425150395494308,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Reston,20190,17529,94806,1.2872542466519903,2,21,13,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Reston,20194,13165,131926,1.5,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Prince William County,Dumfries,22025,17379,115000,1.417735916170732,2,1,1,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Prince William County,Dumfries,22026,14258,77264,1.1620772940311894,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Falls Church,22044,14092,72977,1.1293782626471578,2,2,2,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Falls Church city,Falls Church,22046,16235,126711,1.4881735477454494,2,5,3,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Springfield,22151,17456,99527,1.318915214878936,2,5,5,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Vienna,22181,14879,150929,1.5,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Alexandria city,Alexandria,22301,11162,119443,1.4448633430603905,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Alexandria,22303,12601,83281,1.206477944932585,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Alexandria city,Alexandria,22305,15440,78220,1.1692444774007453,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Alexandria,22308,12737,163632,1.5,2,,,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,VA,Alexandria city,Alexandria,22311,17560,66319,1.0766273446513335,2,6,4,0,2,7000,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20005,12775,81864,1.1961699889325388,2,5,3,1,1,3500,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20024,11510,72870,1.1285500030431272,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Aldie,20105,11315,127464,1.492588850215133,2,4,2,1,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Culpeper County,Amissville,20106,5142,80031,1.1827025774415991,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Fauquier County,Marshall,20115,5838,70845,1.1127587649941215,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Fauquier County,Catlett,20119,3946,111339,1.3949867407081993,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Round Hill,20141,6131,124180,1.473235750770621,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Hamilton,20158,4288,120991,1.454196029820943,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Sterling,20166,9521,106797,1.3662367028512892,1,7,5,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Lovettsville,20180,6549,123594,1.4697555726100069,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Prince William County,Nokesville,20181,7877,108438,1.3766932117913195,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Fauquier County,Warrenton,20186,14557,78161,1.1688034237207106,2,7,4,1,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Fort Belvoir,22060,8878,78506,1.1713801128093546,1,5,2,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Mc Lean,22102,21985,112427,1.4017860461807388,3,16,10,2,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Prince William County,Quantico,22134,6862,58461,1.0108333022078764,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Prince William County,Triangle,22172,8699,62042,1.0413322440671637,1,,,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Arlington County,Arlington,22209,12314,93906,1.2811296793812115,2,5,4,1,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Alexandria city,Alexandria,22302,16485,94446,1.284807923181793,2,1,1,1,1,3500,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Alexandria,22307,9581,103143,1.3426607737181129,1,1,1,0,1,3500,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20004,1622,126765,1.4884906189214657,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20006,3227,30208,0.7266201008878325,0,10,6,0,0,0,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20036,5435,78935,1.1745762852258375,1,13,8,4,0,0,Jim & Anne Weeks
DC / NoVA,1,DC,District of Columbia,Washington,20037,14642,76948,1.159698484612271,2,44,24,2,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Middleburg,20117,2693,103214,1.3431228143573857,0,1,1,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Paeonian Springs,20129,618,180481,1.5,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Clarke County,Paris,20130,281,51458,0.9483592244395301,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Clarke County,Bluemont,20135,2834,90083,1.2547807341997381,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Fauquier County,Broad Run,20137,1510,108333,1.3760265276186399,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Prince William County,Catharpin,20143,1216,139938,1.5,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Fauquier County,Delaplane,20144,1012,115667,1.4218414059742626,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Fauquier County,Upperville,20184,839,174526,1.5,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Loudoun County,Waterford,20197,1840,136677,1.5,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Fauquier County,The Plains,20198,2492,61837,1.039610428666785,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Fairfax County,Dunn Loring,22027,2362,187768,1.5,0,,,0,0,0,Jim & Anne Weeks
DC / NoVA,1,VA,Arlington County,Arlington,22213,2936,141458,1.5,0,,,0,0,0,Jim & Anne Weeks
Dallas (DFW),1,TX,Dallas County,Grand Prairie,75052,88996,66744,1.0800715754996457,10,3,2,0,10,35000,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Mckinney,75070,74734,98524,1.3122525920393786,10,10,8,2,8,28000,Jamie Bergeron
Dallas (DFW),1,TX,Collin County,Allen,75002,63140,91632,1.2655228887660508,8,,,1,7,24500,Jamie Bergeron
